;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;AO;AP;AQ;AR;AS;AT;AU;AV;AW;AX;AY;AZ;BA;BB;BC;BD;BE;BF;BG;BH
"AA;0;0.69;0.08;0.04;0.18;0.42;0.21;0.04;0.18;0.55;0.72;0.37;0.77;0.21;0;0.42;0.21;0.18;0.18;0.72;0.72;0.33;0.14;0.69;0.72;0.42;0.59;0.33;0.14;0.41;0.42;0.14;0.72;0.27"
"AB;0.69;0;0.77;0.73;0.87;0.27;0.9;0.73;0.87;0.14;0.03;0.31;0.08;0.9;0.69;0.27;0.9;0.51;0.87;0.03;0.03;0.36;0.83;0;0.03;0.27;0.1;0.36;0.55;0.28;0.27;0.55;0.03;0.42"
"AC;0.08;0.77;0;0.04;0.09;0.5;0.13;0.04;0.09;0.63;0.81;0.46;0.85;0.13;0.08;0.5;0.13;0.26;0.09;0.81;0.81;0.41;0.05;0.77;0.81;0.5;0.68;0.41;0.22;0.49;0.5;0.22;0.81;0.35"
"AD;0.04;0.73;0.04;0;0.13;0.46;0.17;0;0.13;0.59;0.77;0.42;0.81;0.17;0.04;0.46;0.17;0.22;0.13;0.77;0.77;0.37;0.09;0.73;0.77;0.46;0.63;0.37;0.18;0.45;0.46;0.18;0.77;0.31"
"AE;0.18;0.87;0.09;0.13;0;0.59;0.04;0.13;0;0.73;0.9;0.55;0.94;0.04;0.18;0.6;0.04;0.36;0;0.9;0.9;0.51;0.04;0.87;0.9;0.59;0.77;0.51;0.32;0.59;0.59;0.31;0.9;0.45"
"AF;0.42;0.27;0.5;0.46;0.59;0;0.63;0.46;0.59;0.13;0.31;0.04;0.35;0.63;0.42;0;0.63;0.24;0.59;0.31;0.31;0.09;0.55;0.27;0.31;0;0.18;0.09;0.28;0;0;0.28;0.31;0.15"
"AG;0.21;0.9;0.13;0.17;0.04;0.63;0;0.17;0.04;0.76;0.94;0.59;0.98;0;0.21;0.63;0;0.39;0.04;0.94;0.94;0.54;0.08;0.9;0.94;0.63;0.8;0.54;0.35;0.62;0.63;0.35;0.94;0.48"
"AH;0.04;0.73;0.04;0;0.13;0.46;0.17;0;0.13;0.59;0.77;0.42;0.81;0.17;0.04;0.46;0.17;0.22;0.13;0.77;0.77;0.37;0.09;0.73;0.77;0.46;0.63;0.37;0.18;0.45;0.46;0.18;0.77;0.31"
"AI;0.18;0.87;0.09;0.13;0;0.59;0.04;0.13;0;0.73;0.9;0.55;0.94;0.04;0.18;0.6;0.04;0.36;0;0.9;0.9;0.51;0.04;0.87;0.9;0.59;0.77;0.51;0.32;0.59;0.59;0.31;0.9;0.45"
"AJ;0.55;0.14;0.63;0.59;0.73;0.13;0.76;0.59;0.73;0;0.18;0.17;0.22;0.76;0.55;0.13;0.76;0.37;0.73;0.18;0.18;0.22;0.68;0.14;0.18;0.13;0.04;0.22;0.41;0.14;0.13;0.41;0.18;0.28"
"AK;0.72;0.03;0.81;0.77;0.9;0.31;0.94;0.77;0.9;0.18;0;0.35;0.04;0.94;0.72;0.3;0.94;0.54;0.9;0;0;0.39;0.86;0.03;0;0.31;0.13;0.39;0.59;0.31;0.31;0.59;0;0.45"
"AL;0.37;0.31;0.46;0.42;0.55;0.04;0.59;0.42;0.55;0.17;0.35;0;0.39;0.59;0.37;0.05;0.59;0.19;0.55;0.35;0.35;0.05;0.51;0.31;0.35;0.04;0.22;0.05;0.24;0.04;0.04;0.24;0.35;0.1"
"AM;0.77;0.08;0.85;0.81;0.94;0.35;0.98;0.81;0.94;0.22;0.04;0.39;0;0.98;0.77;0.35;0.98;0.59;0.94;0.04;0.04;0.44;0.9;0.08;0.04;0.35;0.18;0.44;0.63;0.36;0.35;0.63;0.04;0.5"
