;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;AO;AP;AQ;AR;AS;AT;AU;AV;AW;AX;AY;AZ;BA;BB;BC;BD;BE;BF;BG;BH
"AA;0;-1;1;1;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;0;0;0"
"AB;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0"
"AC;1;-1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;-1;-1;0;0;0"
"AD;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
"AE;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;-1;0;-1;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0"
"AF;0;1;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0"
"AG;-1;-1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;0;0;-1;0"
"AH;-1;0;0;0;0;0;-1;0;-1;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0"
"AI;1;0;0;1;0;0;1;-1;0;0;0;0;0;1;0;0;1;-1;1;0;0;0;1;0;0;0;-1;-1;0;0;0;0;0;0"
"AJ;-1;0;0;0;0;0;-1;1;0;0;0;0;0;-1;0;0;-1;1;-1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0"
"AK;-1;0;0;-1;-1;0;-1;1;-1;0;0;0;0;-1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0"
"AL;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;0;0"
"AM;-1;0;0;0;0;1;0;1;0;0;0;0;0;-1;-1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0"
"AN;1;-1;1;1;1;-1;1;-1;1;0;0;0;0;0;1;0;1;-1;1;-1;0;0;0;0;-1;0;-1;-1;0;-1;0;0;-1;0"
"AO;1;0;1;1;1;0;0;-1;0;0;0;0;-1;1;0;0;0;0;0;0;0;0;1;0;0;0;-1;-1;0;0;0;0;0;0"
"AP;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;1;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
"AQ;0;0;0;0;1;0;0;0;0;0;0;0;0;-1;0;1;0;1;-1;-1;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0"
"AR;-1;1;0;0;-1;0;0;0;0;0;0;1;0;-1;0;-1;-1;0;-1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0"
"AS;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
"AT;-1;-1;0;-1;-1;0;-1;1;0;1;1;0;1;-1;-1;-1;-1;1;-1;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0"
"AU;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0"
"AV;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
"AW;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
"AX;-1;0;0;0;-1;1;-1;0;0;0;0;1;1;-1;0;0;-1;0;-1;0;0;0;-1;0;1;0;0;1;0;1;1;0;1;0"
"AY;-1;0;-1;-1;-1;1;-1;0;0;0;0;1;1;-1;0;0;-1;1;-1;0;0;0;-1;1;0;0;0;1;0;1;1;0;1;0"
"AZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;0;-1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0"
"BA;-1;0;0;0;-1;0;-1;1;0;0;0;0;0;-1;0;-1;-1;0;-1;1;0;0;-1;0;0;0;0;1;0;1;0;0;-1;0"
"BB;-1;0;-1;0;-1;1;-1;1;-1;0;0;0;1;-1;-1;0;0;1;-1;1;0;0;0;1;1;0;1;0;1;0;0;-1;0;0"
"BC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0"
"BD;-1;1;-1;-1;-1;1;-1;-1;-1;1;1;1;1;-1;-1;1;-1;1;-1;1;0;0;0;1;1;0;1;1;1;0;1;1;1;1"
"BE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
"BF;-1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
"BG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
"BH;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0"
